,Pollster,State,Date,MoE,Obama (D),Romney (R),Sample,Spread,obama_spread,start_date,end_date
0,Rasmussen Reports,WA,9/26 - 9/26,4.5,52.0,41.0,500.0,Obama +11,11.0,9/26/2012,9/26/2012
1,Gravis Marketing,WA,9/21 - 9/22,4.6,56.0,39.0,625.0,Obama +17,17.0,9/21/2012,9/22/2012
2,Elway Poll,WA,9/9 - 9/12,5.0,53.0,36.0,405.0,Obama +17,17.0,9/9/2012,9/12/2012
3,SurveyUSA,WA,9/7 - 9/9,4.4,54.0,38.0,524.0,Obama +16,16.0,9/7/2012,9/9/2012
4,SurveyUSA,WA,8/1 - 8/2,4.4,54.0,37.0,524.0,Obama +17,17.0,8/1/2012,8/2/2012
5,SurveyUSA,WA,7/16 - 7/18,4.0,46.0,37.0,630.0,Obama +9,9.0,7/16/2012,7/18/2012
6,PPP (D),WA,6/14 - 6/17,3.0,54.0,41.0,1073.0,Obama +13,13.0,6/14/2012,6/17/2012
7,Elway Poll,WA,6/13 - 6/16,5.0,49.0,41.0,408.0,Obama +8,8.0,6/13/2012,6/16/2012
8,Strategies 360 (D),WA,5/22 - 5/24,4.4,51.0,40.0,500.0,Obama +11,11.0,5/22/2012,5/24/2012
9,SurveyUSA,WA,5/8 - 5/9,4.2,50.0,36.0,557.0,Obama +14,14.0,5/8/2012,5/9/2012
10,PPP (D),WA,2/16 - 2/19,2.8,53.0,38.0,1264.0,Obama +15,15.0,2/16/2012,2/19/2012
11,SurveyUSA,WA,2/13 - 2/15,4.2,50.0,39.0,572.0,Obama +11,11.0,2/13/2012,2/15/2012
12,Elway Poll,WA,2/7 - 2/9,5.0,49.0,38.0,405.0,Obama +11,11.0,2/7/2012,2/9/2012
13,SurveyUSA,WA,11/21 - 11/23,4.3,49.0,41.0,549.0,Obama +8,8.0,11/21/2011,11/23/2011
15,Strategies 360 (D),WA,9/11 - 9/14,4.4,49.0,40.0,500.0,Obama +9,9.0,9/11/2011,9/14/2011
16,PPP (D),WA,5/12 - 5/15,3.0,51.0,40.0,1098.0,Obama +11,11.0,5/12/2011,5/15/2011
17,WeAskAmerica,WI,9/20 - 9/23,2.8,53.0,41.0,1238.0,Obama +12,12.0,9/20/2012,9/23/2012
18,PPP (D),WI,9/18 - 9/19,3.4,52.0,45.0,842.0,Obama +7,7.0,9/18/2012,9/19/2012
19,Rasmussen Reports,WI,9/17 - 9/17,4.5,49.0,46.0,500.0,Obama +3,3.0,9/17/2012,9/17/2012
20,NBC/WSJ/Marist,WI,9/16 - 9/18,3.2,50.0,45.0,968.0,Obama +5,5.0,9/16/2012,9/18/2012
21,Marquette University,WI,9/13 - 9/16,4.1,54.0,40.0,601.0,Obama +14,14.0,9/13/2012,9/16/2012
22,CBS/NYT/Quinnipiac,WI,9/11 - 9/17,3.0,51.0,45.0,1485.0,Obama +6,6.0,9/11/2012,9/17/2012
23,CBS/NYT/Quinnipiac,WI,8/15 - 8/21,3.0,49.0,47.0,1190.0,Obama +2,2.0,8/15/2012,8/21/2012
24,Marquette University,WI,8/16 - 8/19,4.2,49.0,46.0,576.0,Obama +3,3.0,8/16/2012,8/19/2012
25,PPP (D),WI,8/16 - 8/19,2.7,47.0,48.0,1308.0,Romney +1,-1.0,8/16/2012,8/19/2012
26,Rasmussen Reports,WI,8/15 - 8/15,4.5,47.0,48.0,500.0,Romney +1,-1.0,8/15/2012,8/15/2012
27,CNN/Opinion Research,WI,8/13 - 8/14,3.0,49.0,45.0,920.0,Obama +4,4.0,8/13/2012,8/14/2012
28,CBS/NYT/Quinnipiac,WI,7/31 - 8/6,3.0,51.0,45.0,1428.0,Obama +6,6.0,7/31/2012,8/6/2012
29,Marquette University,WI,8/2 - 8/5,2.9,50.0,45.0,1188.0,Obama +5,5.0,8/2/2012,8/5/2012
30,Rasmussen Reports,WI,7/25 - 7/25,4.5,49.0,46.0,500.0,Obama +3,3.0,7/25/2012,7/25/2012
31,WeAskAmerica,WI,7/17 - 7/18,2.9,49.0,42.0,1162.0,Obama +7,7.0,7/17/2012,7/18/2012
32,Marquette University,WI,7/5 - 7/8,3.5,51.0,43.0,810.0,Obama +8,8.0,7/5/2012,7/8/2012
33,PPP (D),WI,7/5 - 7/8,3.3,50.0,44.0,1057.0,Obama +6,6.0,7/5/2012,7/8/2012
34,Marquette University,WI,6/13 - 6/16,4.1,49.0,43.0,594.0,Obama +6,6.0,6/13/2012,6/16/2012
35,Rasmussen Reports,WI,6/12 - 6/12,4.5,44.0,47.0,500.0,Romney +3,-3.0,6/12/2012,6/12/2012
36,WeAskAmerica,WI,6/6 - 6/6,2.8,48.0,43.0,1270.0,Obama +5,5.0,6/6/2012,6/6/2012
37,Marquette University,WI,5/23 - 5/26,4.1,51.0,43.0,600.0,Obama +8,8.0,5/23/2012,5/26/2012
38,WPR/St. Norbert,WI,5/17 - 5/22,5.0,49.0,43.0,406.0,Obama +6,6.0,5/17/2012,5/22/2012
39,Daily Kos/PPP (D),WI,5/11 - 5/13,,47.0,46.0,,Obama +1,1.0,5/11/2012,5/13/2012
40,Marquette University,WI,5/9 - 5/12,4.1,46.0,46.0,600.0,Tie,0.0,5/9/2012,5/12/2012
41,Rasmussen Reports,WI,5/9 - 5/9,4.5,49.0,45.0,500.0,Obama +4,4.0,5/9/2012,5/9/2012
42,Marquette University,WI,4/26 - 4/29,3.8,51.0,42.0,705.0,Obama +9,9.0,4/26/2012,4/29/2012
43,Daily Kos/PPP (D),WI,4/13 - 4/15,2.9,50.0,44.0,1136.0,Obama +6,6.0,4/13/2012,4/15/2012
44,Rasmussen Reports,WI,3/27 - 3/27,4.5,52.0,41.0,500.0,Obama +11,11.0,3/27/2012,3/27/2012
45,NBC News/Marist,WI,3/26 - 3/27,2.6,52.0,35.0,1391.0,Obama +17,17.0,3/26/2012,3/27/2012
46,Marquette University,WI,3/22 - 3/25,3.8,48.0,43.0,707.0,Obama +5,5.0,3/22/2012,3/25/2012
47,Rasmussen Reports,WI,2/27 - 2/27,4.5,47.0,42.0,500.0,Obama +5,5.0,2/27/2012,2/27/2012
48,PPP (D),WI,2/23 - 2/26,3.3,53.0,39.0,900.0,Obama +14,14.0,2/23/2012,2/26/2012
49,Marquette University,WI,2/16 - 2/19,3.7,53.0,38.0,716.0,Obama +15,15.0,2/16/2012,2/19/2012
50,Marquette University,WI,1/19 - 1/22,3.8,48.0,40.0,701.0,Obama +8,8.0,1/19/2012,1/22/2012
51,Rasmussen Reports,WI,10/26 - 10/26,4.5,45.0,41.0,500.0,Obama +4,4.0,10/26/2011,10/26/2011
53,PPP (D),WI,10/20 - 10/23,2.9,46.0,43.0,1170.0,Obama +3,3.0,10/20/2011,10/23/2011
54,PPP (D),WI,8/19 - 8/21,3.4,47.0,42.0,830.0,Obama +5,5.0,8/19/2011,8/21/2011
55,PPP (D),WI,5/19 - 5/22,2.4,51.0,39.0,1636.0,Obama +12,12.0,5/19/2011,5/22/2011
56,PPP (D),WI,2/24 - 2/27,3.5,48.0,38.0,768.0,Obama +10,10.0,2/24/2011,2/27/2011
57,PPP (D),WI,12/10 - 12/12,3.7,46.0,42.0,702.0,Obama +4,4.0,12/10/2010,12/12/2010
58,PPP (D),WV,9/30 - 10/2,3.2,33.0,54.0,932.0,Romney +21,-21.0,9/30/2012,10/2/2012
59,PPP (D),WV,9/1 - 9/4,3.7,37.0,49.0,708.0,Romney +12,-12.0,9/1/2012,9/4/2012
60,PPP (D),WV,1/20 - 1/23,2.9,37.0,50.0,1105.0,Romney +13,-13.0,1/20/2012,1/23/2012
61,Suffolk/WSVN,FL,9/27 - 9/30,4.0,46.0,43.0,600.0,Obama +3,3.0,9/27/2012,9/30/2012
62,Gravis Marketing,FL,9/29 - 9/30,3.4,49.0,48.0,914.0,Obama +1,1.0,9/29/2012,9/30/2012
63,Florida Times-Union/InAdv,FL,9/24 - 9/24,4.1,49.0,46.0,540.0,Obama +3,3.0,9/24/2012,9/24/2012
64,PPP (D),FL,9/20 - 9/23,3.3,50.0,46.0,861.0,Obama +4,4.0,9/20/2012,9/23/2012
65,Washington Post,FL,9/19 - 9/23,4.5,51.0,47.0,769.0,Obama +4,4.0,9/19/2012,9/23/2012
66,ARG,FL,9/20 - 9/22,4.0,50.0,45.0,600.0,Obama +5,5.0,9/20/2012,9/22/2012
