State,Democrat,Republican,Democrat Advantage,N
District of Columbia,84.1,8.7,,689
Rhode Island,60.4,23.8,,1526
Massachusetts,60.3,26.3,,8750
Hawaii, 60, 26.2,,1146
Vermont,58.9,26.2,,1446
New York,57.2,30.2,,21398
Connecticut,56.7,30.4,,4901
Maryland,58.2,31.9,,6397
Illinois,55.9,31.6,,12583
Delaware,56,32.8,,1019
Maine,53.1,33.7,,2938
California,52.2,32.8,,37098
New Jersey,53.2,34.1,,10138
West Virginia,53.8,35,,2618
Iowa,52.5,34.4,,4091
Wisconsin,52.3,34.5,,7827
Ohio,52.7,35,,13850
Michigan,51.1,34,,10662
Oregon,52,35.2,,6077
Washington,50.9,34.1,,9546
Pennsylvania,52.9,37.1,,21457
Minnesota,50.8,35.7,,7075
New Mexico,49.9,36.1,,2532
Kentucky,51.6,38.1,,5441
New Hampshire,49.3,36.1,,2096
Arkansas,49.1,36.6,,3577
Nevada,49.1,37.8,,2690
Missouri,48.8,37.9,,7904
Colorado,48.8,38.2,,6611
North Carolina,49.2,38.5,,11092
Louisiana,48.5,39.1,,4109
Indiana,47.2,37.9,,8135
Florida,48.2,39,,18543
Virginia,47.5,38.5,,9386
Oklahoma,47.5,41.9,,5027
Tennessee,45.7,40.7,,7732
Montana,44.4,40.5,,1778
Georgia,45.4,41.8,,9269
Texas,43.4,41,,19415
South Dakota,45.3,44,,1076
Mississippi,45.1,44,,2968
North Dakota,41.7,41.1,,953
South Carolina,43.5,43.4,,4792
Arizona,42.8,43.2,,7660
Alabama,43.9,44.7,,5499
Kansas,41.4,43.4,,3628
Nebraska,40.7,47.3,,2434
Alaska,36.6,47.2,,1262
Idaho,34.6,49.9,,2252
Wyoming,34.5,54.5,,885
Utah,32.4,55.1,,3356
