critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
Derek Adams,2009-10-04,fresh,114709,5/5,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",http://www.timeout.com/film/reviews/87745/toy-story-3d.html,9559,Toy Story
Richard Corliss,2008-08-31,fresh,114709,,TIME Magazine,The year's most inventive comedy.,"http://www.time.com/time/magazine/article/0,9171,983768-1,00.html",9559,Toy Story
David Ansen,2008-08-18,fresh,114709,,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,http://www.newsweek.com/id/104199,9559,Toy Story
Leonard Klady,2008-06-09,fresh,114709,,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,http://www.variety.com/review/VE1117941294.html?categoryid=31&cs=1,9559,Toy Story
Jonathan Rosenbaum,2008-03-10,fresh,114709,,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",http://onfilm.chicagoreader.com/movies/capsules/13161_TOY_STORY,9559,Toy Story
Michael Booth,2007-05-03,fresh,114709,,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",http://www.denverpost.com/movies/ci_5786068,9559,Toy Story
Geoff Andrew,2006-06-24,fresh,114709,,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",http://www.timeout.com/film/reviews/79673/toy_story.html,9559,Toy Story
Janet Maslin,2003-05-20,fresh,114709,5/5,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,http://movies.nytimes.com/movie/review?res=9905EEDA1339F931A15752C1A963958260&partner=Rotten Tomatoes,9559,Toy Story
Kenneth Turan,2001-02-13,fresh,114709,,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.","http://www.calendarlive.com/movies/reviews/cl-movie960406-39,0,1420921.story",9559,Toy Story
Susan Wloszczyna,2000-01-01,fresh,114709,4/4,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",,9559,Toy Story
Roger Ebert,2000-01-01,fresh,114709,4/4,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,http://www.rogerebert.com/reviews/toy-story-1995,9559,Toy Story
John Hartl,2000-01-01,fresh,114709,,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",,9559,Toy Story
Susan Stark,2000-01-01,fresh,114709,3/4,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,http://data.detnews.com/movies/details.hbs?myrec=260,9559,Toy Story
Peter Stack,2000-01-01,fresh,114709,4/4,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/11/01/DD69735.DTL,9559,Toy Story
James Berardinelli,2000-01-01,fresh,114709,3.5/4,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,http://www.reelviews.net/php_review_template.php?identifier=46,9559,Toy Story
Sean Means,2000-01-01,fresh,114709,,Film.com,"Technically, Toy Story is nearly flawless.",,9559,Toy Story
Rita Kempley,2000-01-01,fresh,114709,,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/toystory.htm,9559,Toy Story
,1995-11-22,fresh,114709,A,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.","http://www.ew.com/ew/article/0,,299671,00.html",9559,Toy Story
Roger Moore,1995-11-22,fresh,114709,5/5,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.","http://www.orlandosentinel.com/entertainment/movies/orl-movie-review-toy-story-toy-story-2-3d,0,4640680.story",9559,Toy Story
Roger Ebert,2000-01-01,rotten,113497,1.5/4,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",http://www.rogerebert.com/reviews/jumanji-1995,12436,Jumanji
,2000-01-01,fresh,113497,3.5/4,USA Today,A calculated but very entertaining special effects extravaganza.,,12436,Jumanji
Richard Schickel,2008-08-24,fresh,107050,,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,"http://www.time.com/time/magazine/article/0,9171,979929,00.html",10498,Grumpy Old Men
Derek Adams,2006-06-24,rotten,107050,,Time Out,"Mediocre, regrettably.",http://www.timeout.com/film/reviews/70607/grumpy_old_men.html,10498,Grumpy Old Men
Caryn James,2003-05-20,fresh,107050,,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",http://movies.nytimes.com/movie/review?res=9F0CE7DC1431F937A15751C1A965958260&partner=Rotten Tomatoes,10498,Grumpy Old Men
James Berardinelli,2000-01-01,fresh,107050,3/4,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",http://www.reelviews.net/php_review_template.php?identifier=179,10498,Grumpy Old Men
Roger Ebert,2000-01-01,rotten,107050,2/4,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",http://www.rogerebert.com/reviews/grumpy-old-men-1993,10498,Grumpy Old Men
Desson Thomson,2000-01-01,fresh,107050,,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/grumpyoldmenpg13howe_a0b020.htm,10498,Grumpy Old Men
